"filename", "language", "PHP", "JavaScript", "SCSS", "Markdown", "CSS", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Profile\IndexProfile.php", "PHP", 101, 0, 0, 0, 0, 0, 0, 0, 3, 20, 124
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Profile\ReportProfile.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\CreateCategory.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\CreateDocument.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 10, 48
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\Index.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\IndexCategory.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 2, 14, 83
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\IndexDocument.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 0, 0, 13, 68
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Users\Follow.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 2, 14, 58
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Users\Search.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\Authenticate.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 8, 6, 33
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 5, 4, 20
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\TrustProxies.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 10, 5, 29
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\CommentLike.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\Follow.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\Post.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\PostComment.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\PostLike.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\PostReport.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\ProfileReport.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\User.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 0, 15, 82
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\UserDocument.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\CategoryDocument.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\EtudientModule.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\Module.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\ModuleCategory.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\ModuleQuestion.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\QuestionReaction.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\QuestionReponse.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\resources\Category.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\resources\Document.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\Projet_fin_d_etude\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 12, 5, 29
"c:\xampp\htdocs\Projet_fin_d_etude\app\Providers\AuthServiceProvider.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 12, 6, 31
"c:\xampp\htdocs\Projet_fin_d_etude\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\xampp\htdocs\Projet_fin_d_etude\app\Providers\EventServiceProvider.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 16, 6, 43
"c:\xampp\htdocs\Projet_fin_d_etude\app\Providers\RouteServiceProvider.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 17, 8, 53
"c:\xampp\htdocs\Projet_fin_d_etude\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
